순번,종류,파일명,블록,블록제목,비트,장소,컷,조명,초,프롬프트
11,이미지,1블-b3-k3.png,1,불을 뿜는 무적의 거북선 이미지를 화려하게 재현,b3,거북선 갑판 내부,k3/3,D,20,"the same scene from the same camera height, closest framing of this beat, medium shot, pre-dawn blue hour, cold monochrome, a single faint warm light source in the distance, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
12,이미지,2블-b1-k1.png,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b1,한산도 앞바다 해협,k1/4,A,20,"Strait off Hansan Island, open sea battlefield with distant cliffs, dawn mist, extreme wide establishing shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
12,영상,2블-b1-v1.mp4,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b1,한산도 앞바다 해협,k1→k2,A,20,"Very slow forward dolly at constant camera height. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
13,이미지,2블-b1-k2.png,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b1,한산도 앞바다 해협,k2/4,A,20,"the same scene from the same camera height, progressively closer (2 of 4), extreme wide establishing shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
13,영상,2블-b1-v2.mp4,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b1,한산도 앞바다 해협,k2→k3,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
14,이미지,2블-b1-k3.png,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b1,한산도 앞바다 해협,k3/4,A,20,"the same scene from the same camera height, progressively closer (3 of 4), extreme wide establishing shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
14,영상,2블-b1-v3.mp4,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b1,한산도 앞바다 해협,k3→k4,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
15,이미지,2블-b1-k4.png,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b1,한산도 앞바다 해협,k4/4,A,20,"the same scene from the same camera height, closest framing of this beat, extreme wide establishing shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
16,이미지,2블-b2-k1.png,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b2,여수 수군 진영,k1/4,A,20,"Yeosu naval garrison camp with wooden command platform and banners, wide shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
16,영상,2블-b2-v1.mp4,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b2,여수 수군 진영,k1→k2,A,20,"Slow crane up at constant speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
17,이미지,2블-b2-k2.png,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b2,여수 수군 진영,k2/4,A,20,"the same scene from the same camera height, progressively closer (2 of 4), wide shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
17,영상,2블-b2-v2.mp4,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b2,여수 수군 진영,k2→k3,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
18,이미지,2블-b2-k3.png,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b2,여수 수군 진영,k3/4,A,20,"the same scene from the same camera height, progressively closer (3 of 4), wide shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
18,영상,2블-b2-v3.mp4,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b2,여수 수군 진영,k3→k4,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
19,이미지,2블-b2-k4.png,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b2,여수 수군 진영,k4/4,A,20,"the same scene from the same camera height, closest framing of this beat, wide shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
20,이미지,2블-b3-k1.png,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b3,거북선 갑판 내부,k1/3,A,20,"Interior deck of turtle ship, cramped wooden beams, oar benches, dim lantern light, medium shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
20,영상,2블-b3-v1.mp4,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b3,거북선 갑판 내부,k1→k2,A,20,"Slow lateral tracking move to the right. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
21,이미지,2블-b3-k2.png,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b3,거북선 갑판 내부,k2/3,A,20,"the same scene from the same camera height, progressively closer (2 of 3), medium shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
21,영상,2블-b3-v2.mp4,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b3,거북선 갑판 내부,k2→k3,A,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
22,이미지,2블-b3-k3.png,2,거북선 신화에 도발적 질문을 던지는 내레이터 클로즈업,b3,거북선 갑판 내부,k3/3,A,20,"the same scene from the same camera height, closest framing of this beat, medium shot, flat overcast diffused light with almost no cast shadows, heavy atmospheric haze, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
23,이미지,3블-b1-k1.png,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b1,한산도 앞바다 해협,k1/4,B,20,"Strait off Hansan Island, open sea battlefield with distant cliffs, dawn mist, extreme wide establishing shot, low winter sun raking from the side, long cast shadows, warm ochre rim light against cool grey, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
23,영상,3블-b1-v1.mp4,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b1,한산도 앞바다 해협,k1→k2,B,20,"Very slow forward dolly at constant camera height. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
24,이미지,3블-b1-k2.png,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b1,한산도 앞바다 해협,k2/4,B,20,"the same scene from the same camera height, progressively closer (2 of 4), extreme wide establishing shot, low winter sun raking from the side, long cast shadows, warm ochre rim light against cool grey, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
24,영상,3블-b1-v2.mp4,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b1,한산도 앞바다 해협,k2→k3,B,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
25,이미지,3블-b1-k3.png,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b1,한산도 앞바다 해협,k3/4,B,20,"the same scene from the same camera height, progressively closer (3 of 4), extreme wide establishing shot, low winter sun raking from the side, long cast shadows, warm ochre rim light against cool grey, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
25,영상,3블-b1-v3.mp4,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b1,한산도 앞바다 해협,k3→k4,B,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
26,이미지,3블-b1-k4.png,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b1,한산도 앞바다 해협,k4/4,B,20,"the same scene from the same camera height, closest framing of this beat, extreme wide establishing shot, low winter sun raking from the side, long cast shadows, warm ochre rim light against cool grey, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
27,이미지,3블-b2-k1.png,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b2,여수 수군 진영,k1/4,B,20,"Yeosu naval garrison camp with wooden command platform and banners, wide shot, low winter sun raking from the side, long cast shadows, warm ochre rim light against cool grey, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
27,영상,3블-b2-v1.mp4,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b2,여수 수군 진영,k1→k2,B,20,"Slow crane up at constant speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
28,이미지,3블-b2-k2.png,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b2,여수 수군 진영,k2/4,B,20,"the same scene from the same camera height, progressively closer (2 of 4), wide shot, low winter sun raking from the side, long cast shadows, warm ochre rim light against cool grey, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
28,영상,3블-b2-v2.mp4,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b2,여수 수군 진영,k2→k3,B,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
29,이미지,3블-b2-k3.png,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b2,여수 수군 진영,k3/4,B,20,"the same scene from the same camera height, progressively closer (3 of 4), wide shot, low winter sun raking from the side, long cast shadows, warm ochre rim light against cool grey, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
29,영상,3블-b2-v3.mp4,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b2,여수 수군 진영,k3→k4,B,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
30,이미지,3블-b2-k4.png,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b2,여수 수군 진영,k4/4,B,20,"the same scene from the same camera height, closest framing of this beat, wide shot, low winter sun raking from the side, long cast shadows, warm ochre rim light against cool grey, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
31,이미지,3블-b3-k1.png,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b3,거북선 갑판 내부,k1/3,B,20,"Interior deck of turtle ship, cramped wooden beams, oar benches, dim lantern light, medium shot, low winter sun raking from the side, long cast shadows, warm ochre rim light against cool grey, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
31,영상,3블-b3-v1.mp4,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b3,거북선 갑판 내부,k1→k2,B,20,"Slow lateral tracking move to the right. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
32,이미지,3블-b3-k2.png,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b3,거북선 갑판 내부,k2/3,B,20,"the same scene from the same camera height, progressively closer (2 of 3), medium shot, low winter sun raking from the side, long cast shadows, warm ochre rim light against cool grey, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
32,영상,3블-b3-v2.mp4,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b3,거북선 갑판 내부,k2→k3,B,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
33,이미지,3블-b3-k3.png,3,사료와 공학 분석으로 진실을 파헤치겠다는 예고 장면,b3,거북선 갑판 내부,k3/3,B,20,"the same scene from the same camera height, closest framing of this beat, medium shot, low winter sun raking from the side, long cast shadows, warm ochre rim light against cool grey, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
34,이미지,4블-b1-k1.png,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b1,한산도 앞바다 해협,k1/3,C,20,"Strait off Hansan Island, open sea battlefield with distant cliffs, dawn mist, extreme wide establishing shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
34,영상,4블-b1-v1.mp4,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b1,한산도 앞바다 해협,k1→k2,C,20,"Very slow forward dolly at constant camera height. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
35,이미지,4블-b1-k2.png,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b1,한산도 앞바다 해협,k2/3,C,20,"the same scene from the same camera height, progressively closer (2 of 3), extreme wide establishing shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
35,영상,4블-b1-v2.mp4,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b1,한산도 앞바다 해협,k2→k3,C,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
36,이미지,4블-b1-k3.png,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b1,한산도 앞바다 해협,k3/3,C,20,"the same scene from the same camera height, closest framing of this beat, extreme wide establishing shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
37,이미지,4블-b2-k1.png,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b2,여수 수군 진영,k1/3,C,20,"Yeosu naval garrison camp with wooden command platform and banners, wide shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
37,영상,4블-b2-v1.mp4,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b2,여수 수군 진영,k1→k2,C,20,"Slow crane up at constant speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
38,이미지,4블-b2-k2.png,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b2,여수 수군 진영,k2/3,C,20,"the same scene from the same camera height, progressively closer (2 of 3), wide shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
38,영상,4블-b2-v2.mp4,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b2,여수 수군 진영,k2→k3,C,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
39,이미지,4블-b2-k3.png,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b2,여수 수군 진영,k3/3,C,20,"the same scene from the same camera height, closest framing of this beat, wide shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
40,이미지,4블-b3-k1.png,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b3,거북선 갑판 내부,k1/3,C,20,"Interior deck of turtle ship, cramped wooden beams, oar benches, dim lantern light, medium shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
40,영상,4블-b3-v1.mp4,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b3,거북선 갑판 내부,k1→k2,C,20,"Slow lateral tracking move to the right. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
41,이미지,4블-b3-k2.png,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b3,거북선 갑판 내부,k2/3,C,20,"the same scene from the same camera height, progressively closer (2 of 3), medium shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
41,영상,4블-b3-v2.mp4,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b3,거북선 갑판 내부,k2→k3,C,20,"Continue the same move at identical speed. No rotation, no zoom, no camera shake. Painterly brush texture and paper grain preserved."
42,이미지,4블-b3-k3.png,4,난중일기 등 사료와 목조 거북선 지붕 구조 도해,b3,거북선 갑판 내부,k3/3,C,20,"the same scene from the same camera height, closest framing of this beat, medium shot, even neutral light on a plain seamless ground, subject isolated, no environment, 조선중기1550-1650, 용머리 장식, 철정(쇠못), 소나무 선체 판자, 참나무 나무못, [CAST], [LOCK] , [R-PAINT] , [STYLE] --ar 16:9 --sref [SEED] --sw 110 --no [FORBIDDEN]"
